Order ID,Order Date,Customer Name,Segment,Region,State,Category,Sub-Category,Product Name,Quantity,Sales,Discount,Profit
ORD10001,2025-01-30,Customer 233,Home Office,North,Delhi,Office Supplies,Pen,Pen 149,2,1235.49,0.0,197.32
ORD10002,2025-10-17,Customer 32,Consumer,West,Mumbai,Furniture,Table,Table 528,2,376.18,0.3,55.43
ORD10003,2025-10-20,Customer 79,Home Office,East,Hyderabad,Furniture,Chair,Chair 147,3,448.62,0.05,92.96
ORD10004,2025-10-16,Customer 16,Home Office,West,Mumbai,Technology,Monitor,Monitor 754,4,571.15,0.3,133.44
ORD10005,2025-05-08,Customer 204,Consumer,West,Pune,Technology,Monitor,Monitor 537,6,709.09,0.2,98.19
ORD10006,2025-02-07,Customer 31,Home Office,West,Mumbai,Technology,Phone,Phone 637,8,1315.2,0.2,153.06
ORD10007,2025-10-21,Customer 203,Corporate,South,Bengaluru,Office Supplies,Paper,Paper 600,7,78.03,0.0,21.8
ORD10008,2025-08-31,Customer 179,Home Office,North,Noida,Technology,Phone,Phone 693,8,121.77,0.0,40.6
ORD10009,2025-06-27,Customer 6,Corporate,East,Chennai,Technology,Monitor,Monitor 417,8,441.2,0.2,130.64
ORD10010,2025-05-07,Customer 102,Corporate,North,Delhi,Technology,Laptop,Laptop 605,1,342.95,0.1,27.03
ORD10011,2025-05-23,Customer 181,Corporate,South,Bengaluru,Furniture,Table,Table 511,5,1327.41,0.2,383.88
ORD10012,2025-10-29,Customer 47,Corporate,North,Noida,Furniture,Chair,Chair 184,3,243.92,0.05,11.86
ORD10013,2025-12-20,Customer 220,Home Office,North,Delhi,Furniture,Table,Table 647,6,922.52,0.1,300.68
ORD10014,2025-07-25,Customer 16,Consumer,East,Hyderabad,Technology,Monitor,Monitor 501,7,610.49,0.0,118.71
ORD10015,2025-03-19,Customer 138,Consumer,East,Chennai,Office Supplies,Paper,Paper 212,6,909.08,0.0,45.52
ORD10016,2025-11-05,Customer 94,Corporate,North,Delhi,Furniture,Chair,Chair 728,7,239.85,0.1,78.34
ORD10017,2025-06-25,Customer 190,Corporate,East,Chennai,Office Supplies,Binder,Binder 591,8,481.54,0.05,36.43
ORD10018,2025-09-28,Customer 77,Home Office,South,Bengaluru,Technology,Laptop,Laptop 310,6,236.97,0.3,69.73
ORD10019,2025-09-15,Customer 85,Home Office,East,Hyderabad,Technology,Phone,Phone 271,6,1162.47,0.3,212.12
ORD10020,2025-01-15,Customer 8,Corporate,West,Mumbai,Furniture,Table,Table 857,4,315.88,0.2,43.17
ORD10021,2025-07-06,Customer 21,Consumer,South,Kochi,Furniture,Bookcase,Bookcase 719,6,681.9,0.1,222.64
ORD10022,2025-09-03,Customer 233,Home Office,East,Chennai,Office Supplies,Paper,Paper 445,4,734.33,0.3,199.83
ORD10023,2025-11-22,Customer 86,Consumer,North,Delhi,Technology,Laptop,Laptop 497,4,727.49,0.05,127.44
ORD10024,2025-10-30,Customer 232,Corporate,South,Kochi,Office Supplies,Pen,Pen 186,3,271.61,0.05,14.47
ORD10025,2025-03-13,Customer 112,Consumer,West,Pune,Technology,Phone,Phone 259,3,51.67,0.0,10.75
ORD10026,2025-08-03,Customer 214,Consumer,West,Mumbai,Office Supplies,Paper,Paper 399,4,1150.25,0.1,135.51
ORD10027,2025-03-19,Customer 135,Home Office,East,Hyderabad,Office Supplies,Pen,Pen 697,7,1244.17,0.3,73.69
ORD10028,2025-03-03,Customer 143,Consumer,East,Hyderabad,Furniture,Bookcase,Bookcase 104,3,275.07,0.2,59.34
ORD10029,2025-09-17,Customer 116,Home Office,North,Noida,Furniture,Bookcase,Bookcase 158,4,303.13,0.0,85.39
ORD10030,2025-09-02,Customer 130,Consumer,East,Chennai,Office Supplies,Binder,Binder 727,4,1045.24,0.2,190.7
ORD10031,2025-05-04,Customer 110,Consumer,North,Delhi,Office Supplies,Paper,Paper 526,2,600.7,0.1,37.1
ORD10032,2025-04-23,Customer 192,Consumer,West,Pune,Furniture,Chair,Chair 833,6,231.61,0.05,77.65
ORD10033,2025-07-26,Customer 87,Corporate,South,Kochi,Furniture,Bookcase,Bookcase 952,4,258.97,0.2,85.0
ORD10034,2025-12-27,Customer 5,Corporate,West,Pune,Office Supplies,Paper,Paper 839,6,48.83,0.3,7.7
ORD10035,2025-05-20,Customer 11,Consumer,North,Noida,Technology,Laptop,Laptop 215,4,1458.11,0.0,109.68
ORD10036,2025-10-20,Customer 127,Home Office,North,Delhi,Office Supplies,Pen,Pen 938,5,620.8,0.3,183.6
ORD10037,2025-01-09,Customer 163,Consumer,North,Delhi,Office Supplies,Paper,Paper 918,3,649.47,0.0,84.87
ORD10038,2025-10-11,Customer 107,Corporate,North,Delhi,Technology,Laptop,Laptop 168,5,1296.91,0.2,43.4
ORD10039,2025-04-14,Customer 239,Corporate,West,Mumbai,Technology,Monitor,Monitor 344,2,1454.43,0.1,80.16
ORD10040,2025-01-19,Customer 4,Consumer,North,Delhi,Office Supplies,Binder,Binder 612,3,420.37,0.0,146.44
ORD10041,2025-07-21,Customer 249,Home Office,West,Pune,Furniture,Table,Table 208,7,991.63,0.3,268.12
ORD10042,2025-03-08,Customer 4,Consumer,North,Delhi,Furniture,Table,Table 303,3,618.95,0.1,207.08
ORD10043,2025-12-21,Customer 76,Consumer,North,Noida,Furniture,Chair,Chair 186,7,1308.4,0.1,287.37
ORD10044,2025-10-08,Customer 83,Consumer,South,Bengaluru,Furniture,Table,Table 556,1,409.6,0.1,135.9
ORD10045,2025-09-15,Customer 168,Consumer,East,Hyderabad,Furniture,Table,Table 287,1,516.29,0.0,99.33
ORD10046,2025-01-12,Customer 77,Corporate,West,Mumbai,Furniture,Table,Table 936,2,232.92,0.3,7.57
ORD10047,2025-06-16,Customer 185,Corporate,West,Mumbai,Technology,Monitor,Monitor 973,3,993.16,0.3,135.92
ORD10048,2025-12-25,Customer 208,Home Office,West,Pune,Technology,Monitor,Monitor 758,3,84.81,0.3,17.66
ORD10049,2025-07-04,Customer 246,Consumer,West,Mumbai,Technology,Monitor,Monitor 917,4,145.94,0.0,13.12
ORD10050,2025-01-02,Customer 117,Consumer,South,Kochi,Technology,Laptop,Laptop 742,1,946.82,0.05,181.59
ORD10051,2025-04-16,Customer 60,Home Office,East,Chennai,Technology,Monitor,Monitor 585,5,1217.64,0.1,134.47
ORD10052,2025-04-12,Customer 20,Home Office,South,Kochi,Office Supplies,Paper,Paper 590,5,1155.12,0.3,242.39
ORD10053,2025-02-01,Customer 125,Corporate,West,Pune,Office Supplies,Pen,Pen 861,5,939.3,0.05,45.78
ORD10054,2025-10-09,Customer 52,Corporate,East,Chennai,Technology,Phone,Phone 397,5,707.7,0.2,184.11
ORD10055,2025-07-18,Customer 54,Consumer,East,Hyderabad,Furniture,Table,Table 569,2,1233.45,0.2,404.81
ORD10056,2025-11-20,Customer 131,Corporate,East,Chennai,Furniture,Bookcase,Bookcase 636,5,1430.06,0.05,323.21
ORD10057,2025-09-09,Customer 175,Corporate,East,Hyderabad,Furniture,Table,Table 997,8,603.24,0.05,27.8
ORD10058,2025-01-01,Customer 84,Corporate,South,Kochi,Technology,Laptop,Laptop 526,6,576.64,0.0,174.19
ORD10059,2025-10-29,Customer 20,Corporate,South,Bengaluru,Furniture,Bookcase,Bookcase 112,5,394.75,0.0,66.27
